The most striking example yesterday	1
Had the case gone to	1
the change was related to	1
had the Florida comptroller 's	1
Much of the price decline	1
The latest figures compare with	1
which longer-term will lead to	1
a full five minutes before	1
had not the cost of	1
should Friday 's market drop	1
The aim of the interruption	1
should interesting price opportunities arise	1
should the Air Force order	1
That 's a clear indication	1
Crucial as these elections are	1
LIN shares were n't hurt	1
bolstered as it is by	1
That was in addition to	1
Should sales continue to be	1
On the other hand	20
had it existed then	1
That measure could compel	1
What this tells us	1
Crude as they were	1
At the same time	45
on the other hand	15
Related to that decision	1
clearing the way for	1
That can pay off	1
attributes the gains to	1
The most recent example	1
This will require us	1
It 's fueled by	1
this is one reason	1
those returns compare with	1
at the same time	13
On the one hand	3
Reasons for the walkout	1
linked the gain essentially	1
At least not when	1
it was followed by	1
that this would mean	1
The bottom line is	4
in the same period	2
coming as it does	1
is one such investment	1
fully eight months before	1
Of recent note are	1
The announcement effectively removes	1
only as long as	1
Nearly two months after	1
immediately after the reset	1
Three reasons were pinpointed	1
Since that 1976 ruling	1
Among these crimes are	1
that will translate into	1
about a week after	1
it turned out that	1
possibly for fear that	1
The only consensus is	1
Add the fact that	1
this had to produce	1
On top of that	1
This would compare with	1
let me withdraw that	1
the move was necessary	1
only two weeks after	1
The only difference is	1
About the same time	1
is a good example	2
for the same reason	1
at least not without	1
That was followed by	1
in large part because	1
was partly to blame	1
only three years after	1
attributed the decline to	5
so close , that	1
On top of this	1
that was mainly because	1
setting the stage for	3
The move will make	1
The trend is making	1
in an apparent attempt	1
should they spy one	1
within a year after	1
To avoid this problem	1
The goal would be	1
the shift will mean	1
Such a policy implies	1
attributed the increase to	1
Try as they might	2
just as soon as	1
so much edge as	1
just a day after	1
will help provide for	1
Largely as a result	1
The flextime may cut	1
attributed in part to	1
which is one reason	1
Just five months after	1
That would help reduce	1
at least partly because	1
The two developments leave	1
Amusing as she is	1
To make matters worse	1
To tackle the problem	1
the battle has produced	1
only so long as	1
That 's up from	1
The uproar led to	1
which would result in	1
attributed the slump to	1
so incompetently managed as	1
The latest drop followed	1
The difference is that	1
The collapse Friday prompted	1
That trend could increase	1
That may be because	1
What this means is	1
attributed the improvement to	1
One simple approach is	1
This decision resulted in	1
pushed up mostly by	1
One of these is	1
About six months before	1
The result has been	2
a few weeks before	1
just 15 days after	1
That pace is causing	1
Putting it all together	1
The gain resulted from	1
Along with the car	1
The rise resulted from	1
The results compare with	1
One such company is	1
The declaration immediately made	1
The only other thing	1
about three weeks after	1
The volume resulted in	1
Adding to that speculation	1
a few weeks after	1
The decline primarily reflected	1
should it choose to	1
Along with these factors	1
Such spillover effects give	1
the refinancing should save	1
a few months after	1
Another factor was that	1
attributed the loss to	1
had it held out	1
a decline attributed to	1
a few days after	1
The move largely consigns	1
A combination of factors	1
The trend drove up	1
The point is that	1
The rub is that	1
It is as though	1
A few hours after	1
this has resulted in	1
just eight days before	1
as long as	19
The theory is	2
six years after	1
such prepayment forces	1
What 's more	11
The reason :	1
two weeks after	1
in part because	9
As a result	62
possibly resulting in	1
Among them are	1
One big reason	1
as well as	7
This compares with	2
will result in	2
The idea was	1
if and when	3
for fear of	2
The promotion helped	1
so great that	1
should stocks rise	1
not because of	1
so too will	1
which traders called	1
closely followed by	1
That compares with	4
After these payments	1
That 's why	2
This is that	1
That 's because	15
before and after	1
That compared with	3
So long as	2
In the meantime	8
A year earlier	1
In addition to	15
typically , if	1
as shown by	1
At the time	6
for that reason	2
in the end	5
At that time	3
so much that	1
so much so	1
three years after	1
two months after	1
The big reason	1
at least until	3
resulted ... in	1
are following suit	1
cites the case	1
as a result	9
in the meantime	6
In other words	14
a day after	4
two years before	1
as soon as	14
just days before	1
one day after	2
supported largely by	1
The announcement fueled	1
This could mean	1
Another hurdle concerns	1
This conjures up	1
A half-hour later	1
Among the results	1
The major reason	1
so long as	2
this time around	1
would only strengthen	1
That amounts to	1
the next night	1
help explain why	1
for that purpose	1
In the meanwhile	1
That purchase doubled	1
That would make	1
at the time	1
The move comes	1
a week after	1
That paradox is	1
The updated forecast	1
To begin with	1
In the end	6
The result was	1
The reason is	3
This has led	1
In that case	2
in an attempt	2
so much as	1
Carried even further	1
The idea is	1
in other words	2
The rise came	1
Quite the contrary	1
in the process	1
a decade before	1
For one thing	7
The result is	3
two days before	1
To do that	1
In this case	2
could substantially reduce	1
As much as	1
As opposed to	1
almost immediately after	1
several months before	1
not so much	1
in any case	1
It 's like	1
One day after	1
In any case	2
which contributes to	1
As long as	3
After the study	1
But then again	1
in a bid	1
after such Reconsideration	1
as much as	2
after a which	1
In that way	1
This is because	1
it will cause	1
five years later	1
partly because of	2
some time after	1
At this stage	1
The appointment increased	1
so often opposed	1
as opposed to	3
And so on	1
that 's why	2
spurred on by	1
as a test	1
five years after	1
Needless to say	1
In any event	2
in addition to	3
In the process	2
a week before	1
One big problem	1
On the contrary	4
Shortly before that	1
this was because	1
Among these are	1
being the result	1
Five minutes before	1
At this point	1
The action increases	1
just in case	1
The results show	1
This helps explain	1
By and large	1
four days after	1
The tip-off came	1
that resulted in	1
top the list	1
Among other things	3
The revision follows	1
in one instance	1
This activity produced	1
That would follow	1
attributed that to	2
that 's all	1
two days after	1
When and if	1
Even before then	1
among other possibilities	1
compounded the view	1
at which point	1
His resignation follows	1
Three months after	1
At that point	4
in one case	1
which meant that	1
One step is	1
that can be	1
Best of all	1
On the other	1
The resulting stockpiling	1
by the way	1
the more valuable	1
His point was	1
so often that	1
Pressure came from	1
That brought in	1
As soon as	2
That largely reflects	1
That contrasts with	1
so broadly that	1
In most cases	2
The Continental catch	1
it 's like	1
Two weeks after	1
this can avoid	1
18 months after	1
The ensuing scandal	1
has helped renew	1
throwing into doubt	1
As surely as	1
That would leave	1
As an alternative	2
so poorly that	1
That could make	1
That 's particularly	1
That could widen	1
In this way	1
That would benefit	1
which is why	1
The announcement boosted	1
Among the suggestions	1
that will cinch	1
is expected to	1
Put more simply	1
In the past	3
Never mind that	2
This will give	1
seven years after	1
which accounts for	1
That was before	1
that is why	1
That is because	1
reflecting in part	1
in part reflecting	1
is an example	1
a year after	1
That obviously means	1
Among them were	1
The main reason	1
the ruling pushed	1
at least when	1
That helped persuade	1
just minutes after	1
helped largely by	1
The decline broke	1
Another problem was	1
Whether or not	1
The competition gives	1
tilted lower by	1
To be sure	1
Within minutes after	1
To do so	1
in this case	1
reflecting the fact	2
This contrasts with	1
That would increase	1
a month after	1
In keeping with	1
The representative responded	1
25 years after	1
This leads to	1
That cut short	1
Eight months after	1
seem to explain	1
At least when	1
The purchases increased	1
so loosely that	1
its purpose is	1
The plunge followed	1
The total borrowing	1
so too did	1
After the payment	1
for fear that	1
should he return	1
in that context	1
two months before	1
This observation leads	1
dragged down by	1
that 's without	1
so severely as	1
even though	73
for example	120
No matter	2
so that	28
Not only	13
so is	2
In addition	153
Another concern	1
for instance	51
The reason	4
helped by	5
So would	2
only when	7
just as	31
only because	2
Even so	8
spurred by	1
not only	21
but also	9
In fact	54
Her alternative	1
in fact	26
as does	3
as well	16
in order	46
buoyed by	4
resulting in	7
for one	1
in case	4
altogether reducing	1
partly because	12
Even if	32
stepping up	1
Even before	4
no matter	6
For instance	33
Since then	12
The theory	1
The more	1
the more	4
primarily because	1
That builds	1
as do	1
only after	9
In particular	10
even if	51
That followed	1
Shortly afterwards	1
rather than	34
even before	10
because of	8
so load	1
For example	64
which fueled	1
other than	1
let alone	2
merely because	1
as did	9
much less	3
instead of	28
usually when	1
only if	12
coupled with	1
Just as	2
in particular	4
even after	6
The development	1
showed that	1
bolstered by	3
particularly with	1
almost before	1
in addition	1
Depending upon	1
By comparison	6
largely because	9
in reaction	1
In contrast	9
He increases	1
that permits	1
only to	13
as if	12
Ever since	3
such as	2
just before	5
Now that	6
As in	1
Which makes	1
Only when	1
aiming to	1
For another	1
But then	2
particularly since	5
shortly after	5
If only	2
By contrast	18
The sale	1
will leave	1
One is	3
Shortly after	3
Instead of	13
I mean	1
The tragedy	1
A problem	1
is that	1
More importantly	1
Even after	1
That means	12
so good	1
That indicates	1
These include	1
now that	14
Later on	1
simply because	4
Encouraged by	1
resulted in	1
after that	2
especially as	3
Beyond that	2
as examples	1
so long	1
especially when	3
boosted by	4
encouraged by	1
so draining	1
so does	3
Both reflect	1
as has	2
Buoyed by	1
In short	4
regardless of	5
probably by	1
That spurs	1
soon after	6
followed by	1
Just when	2
ushering in	1
as though	4
insofar as	1
too removed	1
compares with	1
by contrast	8
just after	1
especially if	6
long before	3
given that	1
Even though	15
Combined with	1
That came	1
One was	1
That finding	1
casts doubt	1
is why	2
in contrast	2
just when	3
This put	1
decades before	1
just because	4
In response	2
since then	5
Just because	4
only by	3
so may	1
racked by	1
The result	4
possibly easing	1
too long	1
particularly if	3
even when	11
setting up	1
partly by	1
that includes	1
later on	1
That prompted	1
So far	4
even as	9
particularly as	2
even with	1
That makes	2
after which	2
That puts	1
particularly because	2
shortly afterward	1
This means	5
Among them	2
Typical is	1
so as	3
for it	1
as are	3
More important	1
as is	5
long after	1
ever since	4
so were	1
From there	1
especially after	1
more accurately	1
so did	2
As if	3
compared with	1
This caused	1
after all	1
Primarily because	1
which hurt	1
apparently topping	1
by then	3
mainly because	5
result in	1
so would	1
by comparison	3
After that	2
much as	5
if only	4
only until	1
hurt by	7
greatly enhancing	1
in hopes	1
So many	1
not just	1
giving back	1
By then	3
years before	1
an effort	1
so much	1
Soon after	1
in general	4
pointing to	1
would result	1
Months after	1
Just after	1
Rather than	4
simply by	1
This program	1
would reduce	1
In order	5
that is	3
battered by	2
Part of	1
Taken together	1
shortly before	2
Back when	1
That meant	1
Even while	1
sometimes after	1
For one	2
In essence	1
So too	1
influenced by	1
wiping out	2
That caused	1
effectively crushing	1
Almost simultaneously	1
aided by	5
Since 1987	1
This is	1
reportedly after	1
so well	1
or otherwise	2
It allowed	1
This left	1
Compared with	1
His point	1
so dominate	1
was n't	1
This suggests	1
mostly by	1
In sum	2
The question	1
as have	1
even then	1
even while	2
immediately after	1
It means	1
she specifies	1
Judging by	1
In case	1
call it	1
so many	1
as much	1
Even when	3
years after	1
among them	1
So key	1
The aim	1
due to	1
The weaker	1
evinced by	1
The expansion	1
will expand	1
This starts	1
especially with	1
contributing to	2
that means	3
suddenly increasing	1
Insofar as	1
apparently because	1
for fear	2
All told	2
the harder	1
That ,	1
contributed to	1
That brought	2
so are	1
just by	1
And then	1
aiming for	1
It prompted	1
Bolstered by	1
Most important	2
That leaves	1
Another approach	1
Aided by	1
minutes after	1
pulling down	1
since before	1
as had	1
soon afterward	1
As evidence	1
So often	1
especially since	2
shortly thereafter	3
That includes	2
Even still	1
particularly by	1
does n't	1
at first	1
as such	1
depending on	3
Prompted by	1
prompted by	1
Until then	1
just until	1
At first	1
One reason	2
so high	1
Regardless of	1
was causing	1
Helped by	1
Even then	1
in comparison	1
Even as	3
the longer	1
After then	1
stymied by	1
before that	2
Not just	1
beset by	1
to save	1
right after	1
as were	1
Perhaps because	1
never mind	1
The drop	1
setting off	1
not because	1
merely by	1
As well	1
just to	1
concluding with	1
even so	1
so forcefully	1
Spurred by	1
so bad	1
along with	1
Shortly thereafter	1
This portends	1
Stung by	1
would hurt	1
This includes	1
months after	1
particularly when	1
What if	1
results in	1
dominated by	1
Far from	1
Specifications include	1
What with	1
Besides that	1
Trouble is	1
That is	1
That hurts	1
Partly because	1
In comparison	1
which means	1
So does	1
Perhaps without	1
This time	1
especially because	1
in that	1
hammered by	1
The addition	1
as was	1
possibly raising	1
too far	1
once	44
with	208
Although	161
and	5282
But	1938
because	637
Nevertheless	31
before	223
Until	13
but	1495
if	660
Previously	14
When	267
And	597
so	136
Then	84
when	687
reflecting	51
casting	3
while	526
trying	6
However	166
also	1499
after	382
Separately	63
still	61
or	339
although	141
Moreover	89
though	162
While	214
either	35
Instead	57
previously	35
for	46
by	364
as	593
until	137
Second	5
reducing	5
By	35
giving	12
As	98
After	68
Nonetheless	12
without	81
If	425
unless	76
Meanwhile	124
however	266
Yet	76
since	123
Once	34
Before	28
raising	8
then	251
So	108
Rather	12
Since	50
Indeed	73
from	4
meanwhile	48
Because	60
later	71
pending	2
ultimately	14
making	31
Either	3
leaving	22
therefore	20
Or	30
With	65
Unless	18
assuming	11
lessening	1
indeed	24
Still	113
Soon	7
providing	3
thus	51
Also	107
Further	7
Without	6
startling	1
instead	48
separately	5
not	23
Similarly	15
only	6
yet	19
Besides	14
In	25
that	13
Assuming	5
Nor	17
whether	5
in	43
alternatively	2
Thus	47
causing	12
putting	4
nonetheless	13
equally	1
creating	8
Though	58
cites	1
limiting	2
preventing	2
Whereas	2
meaning	13
cutting	3
moreover	6
despite	7
Whether	2
given	6
killing	8
till	3
further	5
finally	11
where	2
Otherwise	15
tightening	1
included	1
eliminating	4
For	9
thereby	12
forcing	4
attracting	1
Eventually	4
Additionally	5
preserving	1
opening	3
nor	15
Later	11
especially	4
Ultimately	3
Third	2
Compounding	1
Therefore	3
Secondly	1
Finally	19
beyond	1
Likewise	6
eventually	3
bringing	10
blocking	1
earlier	8
too	10
Regardless	1
like	4
hurting	5
indicating	8
galvanized	1
besides	2
thereafter	5
a	1
damping	1
dragging	1
Next	3
saving	1
signaling	2
Earlier	3
helping	4
Frankly	1
ending	5
allowing	9
injuring	1
Despite	2
reversing	3
triggering	3
removing	3
rather	4
This	1
threatens	1
increasing	11
except	11
pushing	4
valuing	1
driven	2
mainly	1
actually	1
now	6
previous	1
WHEN	5
soaking	1
neither	3
nevertheless	5
allows	1
other	1
Furthermore	10
provided	4
lest	2
citing	1
sending	1
suggesting	2
next	4
whereas	2
Other	1
seeking	8
Alternatively	4
Specifically	5
prompting	10
resulting	1
spreading	1
Conversely	2
roiling	2
Consequently	5
consequently	4
filling	5
destroying	2
soon	2
sparking	1
producing	2
laying	1
validating	1
Equally	1
albeit	1
otherwise	3
That	3
refueling	1
both	6
Morever	1
blurring	1
similarly	2
Thereafter	2
averting	2
severing	1
subsequent	2
marking	1
solving	1
IF	4
delaying	1
is	5
including	2
specifically	3
undermining	1
'til	1
Meantime	2
just	1
similar	3
Plus	1
depriving	1
dooming	1
led	1
Given	2
Now	7
Hence	4
Seeking	2
subsequently	3
Even	2
enabling	3
upon	4
therein	1
whenever	6
pleading	1
rendering	2
regardless	1
slowing	1
likewise	2
spurring	2
bucking	1
adding	1
closing	1
cooling	1
affecting	3
proving	1
first	2
boosting	4
exacerbating	1
again	1
Accordingly	1
afterward	3
keeping	1
discouraging	1
Whatever	3
diluting	1
lifting	1
ultimate	2
contradicting	1
following	1
Typically	1
accordingly	1
stranding	1
Reflecting	6
leading	3
Upon	1
Essentially	2
which	5
attracted	1
follows	1
afterwards	3
Afterwards	1
originally	1
sidelining	1
additionally	1
driving	3
Considering	1
to	2
Only	2
boosted	1
choking	1
hobbling	1
particularly	1
say	2
about	2
else	1
added	2
essentially	1
ONCE	1
knocking	1
blames	2
credits	1
Say	1
placing	2
Afterward	2
additional	3
From	2
warned	1
and/or	1
furthermore	2
wreaking	1
True	1
total	1
constricting	1
grounding	1
Confirming	1
Fueling	1
It	1
makes	1
formerly	1
Result	1
guaranteeing	1
was	1
rupturing	1
best	1
cited	1
indicates	1
considering	1
simultaneously	3
overwhelming	1
Except	1
Altogether	1
angering	2
reinforcing	1
erasing	1
depressed	1
comparable	1
on	1
uncertainty	1
doubling	1
barring	1
Beyond	1
Worse	1
permitting	1
Adding	1
provoking	1
expanding	1
whatever	1
Another	1
echoing	1
Breaking	1
Replied	1
Simultaneously	1
brings	1
Whenever	1
buffing	1
